800 800
60 (45.44,-73.6352) 
53 (45.4532,-73.6193) 27 (45.5783,-73.6502) 
52 (45.5535,-73.4984) 66 (45.5624,-73.5358) 
3 (45.5632,-73.619) 7 (45.5021,-73.5055) 
15 (45.4855,-73.5858) 88 (45.5418,-73.5165) 
56 (45.4416,-73.6255) 34 (45.4848,-73.6455) 
21 (45.5008,-73.5788) 12 (45.5317,-73.6115) 
99 (45.5449,-73.5891) 38 (45.4641,-73.5288) 
35 (45.4429,-73.6446) 75 (45.505,-73.6407) 
7 (45.4766,-73.5379) 95 (45.4491,-73.5985) 
88 (45.4313,-73.5605) 77 (45.4898,-73.5984) 
10 (45.5786,-73.5092) 53 (45.5472,-73.5052) 
88 (45.5074,-73.5345) 50 (45.4324,-73.5774) 
7 (45.5685,-73.5722) 95 (45.5683,-73.5101) 
89 (45.48,-73.5288) 51 (45.4937,-73.5741) 
55 (45.5715,-73.5847) 20 (45.4602,-73.5081) 
36 (45.4841,-73.5167) 29 (45.4373,-73.5372) 
98 (45.5058,-73.6273) 51 (45.4564,-73.6628) 
87 (45.4738,-73.6537) 74 (45.5572,-73.6178) 
67 (45.4819,-73.5415) 71 (45.4956,-73.6245) 
69 (45.5079,-73.5099) 48 (45.4596,-73.6433) 
54 (45.471,-73.6101) 53 (45.4499,-73.6592) 
99 (45.444,-73.6613) 84 (45.4343,-73.6413) 
43 (45.4531,-73.6058) 47 (45.5218,-73.5114) 
1 (45.4866,-73.6281) 20 (45.5338,-73.5568) 
1 (45.5275,-73.6041) 35 (45.5681,-73.5521) 
54 (45.5354,-73.5875) 34 (45.5685,-73.6454) 
38 (45.4814,-73.5227) 73 (45.5106,-73.5792) 
76 (45.4891,-73.5362) 85 (45.5438,-73.5207) 
66 (45.5332,-73.6275) 75 (45.56,-73.6086) 
93 (45.5065,-73.498) 69 (45.5443,-73.5508) 
14 (45.4351,-73.555) 65 (45.4712,-73.6488) 
41 (45.4642,-73.6554) 16 (45.4315,-73.5077) 
59 (45.5055,-73.4966) 80 (45.5321,-73.5863) 
11 (45.526,-73.6098) 83 (45.4394,-73.5145) 
70 (45.4401,-73.6327) 58 (45.57,-73.5462) 
78 (45.5224,-73.5598) 26 (45.4872,-73.5365) 
32 (45.4841,-73.5894) 7 (45.5495,-73.6113) 
11 (45.5247,-73.6159) 62 (45.4357,-73.5143) 
94 (45.5226,-73.6213) 89 (45.4995,-73.6197) 
11 (45.5747,-73.5478) 79 (45.4868,-73.5199) 
7 (45.5732,-73.6407) 84 (45.578,-73.59) 
24 (45.4495,-73.5221) 68 (45.4477,-73.6395) 
20 (45.5228,-73.4982) 
