23650 24000
11 (45.5801,-73.5288)
96 (45.5612,-73.5374) 86 (45.4805,-73.5537)
67 (45.5793,-73.5612) 45 (45.4367,-73.5015)
47 (45.5127,-73.5005) 30 (45.5156,-73.5085)
97 (45.4471,-73.5799) 15 (45.565,-73.5373)
94 (45.5686,-73.612) 7 (45.5807,-73.5958)
55 (45.4659,-73.6474) 18 (45.54,-73.508)
80 (45.5029,-73.5525) 68 (45.4662,-73.5497)
88 (45.5389,-73.645) 73 (45.5685,-73.5722)
5 (45.5561,-73.6574) 86 (45.5416,-73.523)
30 (45.4932,-73.5466) 51 (45.5593,-73.5966)
23 (45.4466,-73.6624) 73 (45.4969,-73.5953)
69 (45.5741,-73.5586) 72 (45.532,-73.6127)
70 (45.4453,-73.6331) 50 (45.4754,-73.5459)
50 (45.4941,-73.5795) 74 (45.4959,-73.5895)
23 (45.5653,-73.5348) 94 (45.4923,-73.6287)
16 (45.5203,-73.5849) 44 (45.4696,-73.5317)
76 (45.4866,-73.6613) 42 (45.4693,-73.6398)
11 (45.5171,-73.5741) 85 (45.5322,-73.5853)
23 (45.5294,-73.5849) 2 (45.5143,-73.6441)
48 (45.5352,-73.5896) 4 (45.5021,-73.5895)
54 (45.455,-73.573) 93 (45.5805,-73.5516)
24 (45.5049,-73.5405) 36 (45.5451,-73.6568)
5 (45.4987,-73.5546) 56 (45.4317,-73.5804)
48 (45.4667,-73.6456) 43 (45.5594,-73.6595)
32 (45.5734,-73.601) 32 (45.4565,-73.6595)
79 (45.4937,-73.6486) 78 (45.4492,-73.6477)
76 (45.565,-73.5988) 96 (45.4775,-73.6611)
55 (45.4639,-73.6207) 92 (45.5037,-73.5798)
56 (45.4499,-73.6304) 63 (45.4966,-73.5931)
1 (45.4557,-73.5723) 25 (45.5142,-73.5999)
80 (45.5487,-73.5811) 30 (45.5218,-73.5114)
34 (45.4317,-73.5804) 6 (45.5569,-73.6062)
8 (45.4736,-73.6197) 58 (45.5544,-73.5093)
99 (45.5532,-73.5968) 39 (45.4535,-73.6339)
17 (45.4856,-73.5593) 1 (45.5208,-73.6231)
38 (45.5187,-73.5093) 31 (45.4385,-73.5959)
80 (45.5412,-73.6196) 72 (45.5075,-73.5985)
47 (45.4933,-73.5484) 19 (45.5004,-73.5319)
31 (45.4975,-73.5691) 56 (45.5154,-73.6333)
91 (45.4656,-73.6189) 81 (45.5709,-73.5717)
40 (45.4531,-73.6448) 87 (45.5005,-73.6525)
25 (45.5203,-73.5719)
65 (45.4637,-73.583)
1 (45.4607,-73.6238) 46 (45.5717,-73.5576)
40 (45.4466,-73.5412) 16 (45.4645,-73.6656)
41 (45.4472,-73.5598) 9 (45.4395,-73.6483)
45 (45.5299,-73.5062) 74 (45.4657,-73.6097)
70 (45.4644,-73.5911) 89 (45.5644,-73.5381)
73 (45.4485,-73.6465) 57 (45.4756,-73.6202)
54 (45.4717,-73.581) 79 (45.4325,-73.661)
97 (45.4989,-73.5183) 62 (45.5197,-73.6301)
56 (45.4534,-73.6639) 42 (45.5319,-73.5289)
100 (45.5766,-73.5695) 66 (45.4667,-73.5003)
24 (45.4863,-73.5178) 58 (45.4993,-73.5564)
53 (45.5318,-73.5793) 76 (45.544,-73.5707)
64 (45.4671,-73.5391) 44 (45.4551,-73.5924)
94 (45.5333,-73.5659) 51 (45.4478,-73.5301)
86 (45.4945,-73.5314) 93 (45.4991,-73.5191)
24 (45.4402,-73.6074) 83 (45.5413,-73.5762)
12 (45.4821,-73.6602) 73 (45.4888,-73.5573)
85 (45.4402,-73.6451) 3 (45.5641,-73.5807)
16 (45.5286,-73.5091) 75 (45.4925,-73.5135)
94 (45.566,-73.506) 94 (45.5153,-73.5647)
18 (45.4452,-73.5125) 97 (45.5554,-73.6003)
89 (45.5378,-73.5808) 58 (45.5708,-73.5726)
27 (45.531,-73.5743) 9 (45.4919,-73.5916)
56 (45.4781,-73.5708) 81 (45.4335,-73.507)
19 (45.5789,-73.5145) 30 (45.5394,-73.6229)
95 (45.4845,-73.614) 62 (45.4628,-73.5092)
